rut_cliente;nombre_cliente;monto;banco_destino;cuenta_destino;referencia_banco
24242688-6;TOMAS LOPEZ LOPEZ;1721261.44;BANCO SANTANDER;045197157631;REF-2026-000269
14651272-0;CAMILA RODRIGUEZ HERNANDEZ;1380673.32;ITAU;220962398458;REF-2026-000270
23071676-5;ANTONIA FLORES MARTINEZ;292882.13;BCI;053580956926;REF-2026-000271
22818795-K;FELIPE SILVA SOTO;215130.52;BANCO FALABELLA;519477104921;REF-2026-000272
8373727-1;FRANCISCA PEREZ FLORES;1953463.20;BANCO SECURITY;966855026307;REF-2026-000273
20961831-1;NICOLAS CONTRERAS SEPULVEDA;678537.36;BANCO CHILE;846713149539;REF-2026-000274
8001803-7;ISIDORA SILVA FLORES;1554137.92;BANCO CHILE;457018430879;REF-2026-000275
10898490-2;JUAN LOPEZ TORRES;395723.95;SCOTIABANK;043420288918;REF-2026-000276
5310954-3;MATIAS ESPINOZA VALDES;230025.42;SCOTIABANK;600754869975;REF-2026-000277
22593210-7;NICOLAS ROJAS ARAYA;986510.34;BCI;124732913451;REF-2026-000278
16095917-7;DIEGO HERNANDEZ MARTINEZ;1512009.23;BANCO CHILE;373530937217;REF-2026-000279
14899371-8;ISIDORA CONTRERAS DIAZ;1286264.81;BANCO SECURITY;472703329527;REF-2026-000280
22289949-4;JAVIERA GONZALEZ LOPEZ;1408531.12;BANCO SANTANDER;155540161162;REF-2026-000281
21020701-5;JAVIERA SILVA PEREZ;551906.49;BCI;827552435289;REF-2026-000282
13958842-8;JAVIERA SEPULVEDA ESPINOZA;1520994.73;BANCO CHILE;719382900665;REF-2026-000283
17064566-9;FELIPE SOTO MUNOZ;981004.39;BANCO SANTANDER;754360527876;REF-2026-000284
21861788-3;MATIAS MUNOZ SEPULVEDA;775795.78;BCI;525559683664;REF-2026-000285
10140054-9;CATALINA VALDES RODRIGUEZ;877091.89;ITAU;592663315274;REF-2026-000286
12328677-4;FELIPE VALDES GONZALEZ;1107067.57;BANCO FALABELLA;123682170508;REF-2026-000287
7072256-9;TOMAS ARAYA CONTRERAS;1206042.68;BANCO SANTANDER;358188967265;REF-2026-000288
22459764-9;CATALINA MUNOZ CONTRERAS;1508485.74;ITAU;989233069447;REF-2026-000289
22125355-8;CATALINA SOTO HERNANDEZ;281707.65;BANCO SECURITY;621437225134;REF-2026-000290
6937324-0;TOMAS HERNANDEZ SEPULVEDA;1521828.02;BANCO SECURITY;899741050292;REF-2026-000291
5101182-1;;1569065.27;BANCO ESTADO;465050986189;REF-2026-000292
16560470-9;CAMILA FLORES SOTO;1964962.08;ITAU;314668912860;REF-2026-000293
18719297-8;DIEGO ROJAS FUENTES;790301.48;ITAU;417211396374;REF-2026-000294
17604572-1;TOMAS ROJAS RODRIGUEZ;253791.22;BANCO SECURITY;140710314903;REF-2026-000295
12472243-8;MARIA PEREZ SEPULVEDA;975989.86;BANCO SECURITY;419896465182;REF-2026-000296
12706247-1;FELIPE HERNANDEZ RODRIGUEZ;330313.35;BCI;967098821122;REF-2026-000297
8786437-5;JUAN FUENTES VALDES;1611530.02;BCI;074899557866;REF-2026-000298
8385531-2;JORGE SOTO HERNANDEZ;1258645.86;BANCO CHILE;813799944114;REF-2026-000299
6484338-9;CONSTANZA HERNANDEZ SILVA;1136958.27;BANCO CHILE;551357691607;REF-2026-000300
14706070-K;FELIPE ESPINOZA MORALES;1216052.76;BANCO FALABELLA;332729976873;REF-2026-000301
9807022-2;FERNANDA SILVA FUENTES;635196.35;BANCO CHILE;969908832528;REF-2026-000302
10876494-5;SEBASTIAN FLORES TORRES;103323.44;BANCO SECURITY;579900622716;REF-2026-000303
15694953-1;SEBASTIAN FUENTES ROJAS;633911.48;BANCO SANTANDER;592650712027;REF-2026-000304
20888655-K;FELIPE SILVA SEPULVEDA;1803394.90;BANCO SANTANDER;511266923198;REF-2026-000305
6933538-1;TOMAS FUENTES FUENTES;1173715.67;BANCO SANTANDER;268956219484;REF-2026-000306
13556234-3;VALENTINA MORALES GONZALEZ;1939048.57;BANCO FALABELLA;589807649379;REF-2026-000307
11391502-1;JUAN MARTINEZ LOPEZ;1417792.77;BANCO CHILE;082061582626;REF-2026-000308
11313712-6;ISIDORA FLORES CONTRERAS;1010362.26;BANCO FALABELLA;017789002083;REF-2026-000309
12107089-8;VALENTINA MUNOZ TORRES;1922722.31;BCI;607618307372;REF-2026-000310
15791608-4;MATIAS LOPEZ HERNANDEZ;1124145.83;BANCO FALABELLA;285792505165;REF-2026-000311
17067670-K;FERNANDA TORRES HERNANDEZ;211796.92;ITAU;923394172840;REF-2026-000312
15745245-2;VALENTINA RODRIGUEZ MORALES;873074.05;BCI;163097444683;REF-2026-000313
5544249-5;ANTONIA FLORES ESPINOZA;1219550.92;BANCO SECURITY;169771565771;REF-2026-000314
11583103-8;JAVIERA SILVA LOPEZ;1199935.31;ITAU;720624530104;REF-2026-000315
16326777-2;ANTONIA TORRES TORRES;971428.21;BANCO FALABELLA;152050846074;REF-2026-000316
23339051-8;NICOLAS DIAZ FLORES;1350971.07;BANCO CHILE;932316707669;REF-2026-000317
7494114-1;JUAN PEREZ FUENTES;293340.80;BCI;778681000654;REF-2026-000318
10067714-8;MARIA CONTRERAS ARAYA;961321.47;BANCO CHILE;703733251364;REF-2026-000319
25686956-K;NICOLAS TORRES PEREZ;18867.68;BANCO SECURITY;018230768734;REF-2026-000320
22764308-0;ANTONIA FLORES SEPULVEDA;40950.64;BANCO SECURITY;198180975168;REF-2026-000321
8590875-8;PEDRO ARAYA ROJAS;510348.24;SCOTIABANK;391048375787;REF-2026-000322
13969929-7;CONSTANZA GONZALEZ RODRIGUEZ;856501.58;BCI;769757197171;REF-2026-000323
12578511-5;MATIAS GONZALEZ SOTO;201084.51;BANCO SECURITY;608210319708;REF-2026-000324
20972080-9;JUAN PEREZ DIAZ;178405.63;BANCO SECURITY;862763314712;REF-2026-000325
16115597-7;ISIDORA MUNOZ ARAYA;1932601.05;BCI;989750507408;REF-2026-000326
24018120-7;NICOLAS MARTINEZ SOTO;1943102.09;SCOTIABANK;601862968276;REF-2026-000327
23908253-K;JUAN DIAZ MORALES;37837.26;BANCO SANTANDER;906174040496;REF-2026-000328
18364596-K;CAMILA SEPULVEDA DIAZ;1187706.30;BANCO SECURITY;987455353821;REF-2026-000329
23138265-8;JAVIERA LOPEZ ROJAS;1662794.88;BANCO ESTADO;819194675138;REF-2026-000330
16605119-3;JUAN MUNOZ FUENTES;491841.09;BANCO FALABELLA;845412769960;REF-2026-000331
25597899-3;JORGE LOPEZ MORALES;67129.81;SCOTIABANK;539806010341;REF-2026-000332
12655054-5;CRISTOBAL FLORES LOPEZ;910650.23;BANCO SECURITY;847476610740;REF-2026-000333
25757304-4;MATIAS SILVA GONZALEZ;177046.34;BANCO SANTANDER;784316135403;REF-2026-000334
10176673-K;CONSTANZA MORALES RODRIGUEZ;228453.11;BANCO CHILE;340057432441;REF-2026-000335
19922859-5;CRISTOBAL MARTINEZ MUNOZ;282887.11;BANCO SANTANDER;492477314669;REF-2026-000336
23689316-2;TOMAS ARAYA FUENTES;221620.03;BANCO ESTADO;608110439018;REF-2026-000337
8122718-7;JORGE VALDES MORALES;1816348.49;BANCO CHILE;453225040924;REF-2026-000338
18012393-8;CAMILA FLORES SILVA;1204487.66;BANCO SANTANDER;420555237488;REF-2026-000339
10687534-0;FRANCISCA MARTINEZ SEPULVEDA;567889.63;BANCO SANTANDER;181660356787;REF-2026-000340
19585315-0;ANTONIA FUENTES SEPULVEDA;1020506.09;BANCO FALABELLA;792333078722;REF-2026-000341
25972650-6;NICOLAS VALDES VALDES;415094.58;BANCO ESTADO;332294404895;REF-2026-000342
5227075-8;CONSTANZA MORALES VALDES;801686.42;ITAU;474884083684;REF-2026-000343
24944516-9;FRANCISCA SEPULVEDA MORALES;1270025.88;BCI;346654714857;REF-2026-000344
10960517-4;CONSTANZA MORALES SEPULVEDA;1546143.88;ITAU;636516703300;REF-2026-000345
13134409-0;JAVIERA LOPEZ MARTINEZ;1717313.50;BANCO FALABELLA;222465051615;REF-2026-000346
24871841-2;TOMAS DIAZ FLORES;61447.93;ITAU;782439126991;REF-2026-000347
12034632-6;CATALINA SEPULVEDA GONZALEZ;1722495.52;ITAU;697382471712;REF-2026-000348
15161377-2;FELIPE MARTINEZ ROJAS;1504959.54;BANCO SECURITY;490943949569;REF-2026-000349
25063330-0;NICOLAS ESPINOZA LOPEZ;1125649.64;BANCO SECURITY;041989644042;REF-2026-000350
17063807-7;TOMAS VALDES GONZALEZ;234364.98;BCI;733968817887;REF-2026-000351
16912119-2;DIEGO VALDES SOTO;1186158.82;BANCO SECURITY;829786143023;REF-2026-000352
16126538-1;SEBASTIAN MUNOZ PEREZ;211792.33;BCI;823532091268;REF-2026-000353
22407964-8;TOMAS ESPINOZA ESPINOZA;468537.57;BANCO FALABELLA;509486049382;REF-2026-000354
24749801-K;FERNANDA ROJAS RODRIGUEZ;56511.61
8508094-6;MATIAS FUENTES GONZALEZ;248415.93;BANCO SANTANDER;341798476551;REF-2026-000356
16511407-8;CATALINA CONTRERAS ARAYA;1017769.44;ITAU;482455624889;REF-2026-000357
20181608-4;JAVIERA GONZALEZ SEPULVEDA;98707.90;BANCO ESTADO;933104905547;REF-2026-000358
16511785-9;PEDRO DIAZ SILVA;1087117.22;BANCO SANTANDER;;REF-2026-000359
16106169-7;TOMAS FUENTES HERNANDEZ;491236.51;BANCO SANTANDER;701880194987;REF-2026-000360
19500026-3;CONSTANZA PEREZ VALDES;1856989.25;ITAU;471694928465;REF-2026-000361
18047163-4;MARIA CONTRERAS CONTRERAS;588731.96;BANCO ESTADO;115148840081;REF-2026-000362
23015005-2;DIEGO RODRIGUEZ MORALES;418294.58;BANCO ESTADO;736566206848;REF-2026-000363
21424356-3;FERNANDA MORALES VALDES;820035.78;BANCO SECURITY;128075217636;REF-2026-000364
16674413-K;CRISTOBAL HERNANDEZ VALDES;366816.86;SCOTIABANK;679255577102;REF-2026-000365
24802764-9;CAMILA ROJAS MORALES;252173.30;SCOTIABANK;199070787352;REF-2026-000366
17526073-0;FRANCISCA ARAYA LOPEZ;882110.76;BANCO SANTANDER;424375568165;REF-2026-000367
19194826-2;DIEGO TORRES FLORES;1459234.82;BANCO SANTANDER;183771957811;REF-2026-000368
21429660-8;MATIAS ROJAS DIAZ;664722.57;BANCO CHILE;395559413628;REF-2026-000369
5321566-1;NICOLAS ROJAS CONTRERAS;1714631.49;ITAU;754376495451;REF-2026-000370
21499582-4;SEBASTIAN HERNANDEZ TORRES;355755.10;BANCO CHILE;837641937792;REF-2026-000371
12399742-5;MATIAS SOTO MARTINEZ;476530.68;SCOTIABANK;856420943940;REF-2026-000372
20345159-8;ISIDORA TORRES FLORES;1076237.14;BANCO ESTADO;852554098697;REF-2026-000373
23223619-1;CRISTOBAL FLORES SOTO;1598844.92;ITAU;239569770723;REF-2026-000374
19265824-1;PEDRO SILVA SEPULVEDA;1839609.04;ITAU;384380872138;REF-2026-000375
7918665-1;CATALINA MUNOZ SILVA;445146.94;BANCO FALABELLA;782087256575;REF-2026-000376
25476988-6;SEBASTIAN DIAZ VALDES;296996.26;BCI;068883850039;REF-2026-000377
24128520-0;CRISTOBAL FLORES MARTINEZ;1256701.68;BANCO SANTANDER;321851467786;REF-2026-000378
14708412-9;ISIDORA MARTINEZ ARAYA;1892762.86;BANCO ESTADO;867510056283;REF-2026-000379
18810877-6;JUAN MARTINEZ ROJAS;1475998.16;BCI;783312158683;REF-2026-000380
15807772-8;FELIPE LOPEZ TORRES;303155.73;SCOTIABANK;458962968917;REF-2026-000381
17588694-K;CATALINA GONZALEZ GONZALEZ;849839.65;SCOTIABANK;408494975195;REF-2026-000382
20257054-2;NICOLAS MORALES ESPINOZA;10186.99;BANCO ESTADO;698753726506;REF-2026-000383
17019960-K;CAMILA FLORES LOPEZ;461822.54;BCI;295182560647;REF-2026-000384
15833556-5;MATIAS MORALES FLORES;1217014.16;ITAU;378047893181;REF-2026-000385
6624345-1;JUAN MUNOZ HERNANDEZ;39144.15;BANCO SANTANDER;501111515066;REF-2026-000386
5022680-8;SEBASTIAN CONTRERAS ROJAS;1854997.83;SCOTIABANK;959460509985;REF-2026-000387
14194567-K;CAMILA RODRIGUEZ MARTINEZ;177848.47;BANCO SANTANDER;435014121543;REF-2026-000388
25991796-4;MATIAS SILVA FUENTES;1379652.11;BANCO ESTADO;232932899641;REF-2026-000389
20998978-6;CAMILA ROJAS ESPINOZA;479356.66;ITAU;009629821731;REF-2026-000390
16528435-6;PEDRO FUENTES ROJAS;1006810.09;BCI;097134553334;REF-2026-000391
8436885-7;PEDRO MORALES RODRIGUEZ;1852567.38;BANCO SANTANDER;853047299002;REF-2026-000392
9467646-0;FRANCISCA GONZALEZ ARAYA;1186307.01;BANCO SANTANDER;385142301965;REF-2026-000393
12148954-6;FRANCISCA FUENTES VALDES;1444833.56;BCI;984919833030;REF-2026-000394
8371049-7;FRANCISCA MUNOZ ESPINOZA;1535940.49;BANCO FALABELLA;473288556961;REF-2026-000395
15552991-1;FRANCISCA SILVA MARTINEZ;1356867.10;BCI;660506816723;REF-2026-000396
25132923-0;JORGE SEPULVEDA PEREZ;1783158.84;SCOTIABANK;568818065717;REF-2026-000397
25365086-9;FERNANDA CONTRERAS LOPEZ;624796.82;BANCO CHILE;987913913003;REF-2026-000398
13030953-4;NICOLAS LOPEZ MUNOZ;510585.63;BANCO ESTADO;978226549437;REF-2026-000399
5404901-6;JAVIERA ROJAS LOPEZ;1810257.72;BANCO SECURITY;599569888727;REF-2026-000400
10797209-9;NICOLAS GONZALEZ PEREZ;1236790.08;BANCO CHILE;238349278479;REF-2026-000401
6336367-7;JUAN LOPEZ ARAYA;605808.80;BANCO SECURITY;771618387758;REF-2026-000402
18498190-4;CAMILA FLORES FLORES;1296944.19;SCOTIABANK;340661463094;REF-2026-000403
7651523-9;FERNANDA CONTRERAS ROJAS;1129891.41;BANCO SECURITY;699303430374;REF-2026-000404
7218454-8;MATIAS FUENTES SILVA;126437.31;BANCO ESTADO;481712615820;REF-2026-000405
8891863-0;CATALINA VALDES VALDES;120403.39;BANCO SANTANDER;014397905703;REF-2026-000406
9604063-6;MARIA DIAZ TORRES;732093.66;SCOTIABANK;409738993541;REF-2026-000407
9259084-4;ANTONIA MUNOZ PEREZ;707569.54;SCOTIABANK;071969413467;REF-2026-000408
13823126-7;ISIDORA GONZALEZ TORRES;959618.65;BANCO FALABELLA;546698955756;REF-2026-000409
24021542-K;DIEGO RODRIGUEZ DIAZ;540017.98;BANCO ESTADO;631906078844;REF-2026-000410
8869953-K;FELIPE ARAYA PEREZ;97354.01;BCI;516593564679;REF-2026-000411
17213024-0;CONSTANZA ROJAS DIAZ;1957784.04;BANCO SECURITY;354151604213;REF-2026-000412
13330330-8;SEBASTIAN MORALES MARTINEZ;1737241.09;BANCO FALABELLA;551268636982;REF-2026-000413
6767384-0;DIEGO SILVA ARAYA;101319.51;BANCO ESTADO;515867756918;REF-2026-000414
14472646-4;MATIAS MORALES GONZALEZ;1164916.58;BANCO CHILE;221627828682;REF-2026-000415
14784307-0;ISIDORA SEPULVEDA VALDES;513735.59;BANCO FALABELLA;854721873297;REF-2026-000416
11557288-1;TOMAS SILVA ROJAS;18375.52;BANCO CHILE;594706204534;REF-2026-000417
16624050-6;MARIA MORALES PEREZ;1596589.84;BANCO SECURITY;812100304578;REF-2026-000418
15318344-9;PEDRO CONTRERAS ARAYA;504473.53;ITAU;069552767851;REF-2026-000419
9777261-4;ANTONIA GONZALEZ SOTO;1937052.29;BANCO SECURITY;987557625325;REF-2026-000420
17498756-4;CATALINA GONZALEZ ESPINOZA;205439.64;BANCO SANTANDER;901384985366;REF-2026-000421
18232233-4;CAMILA ESPINOZA ESPINOZA;135616.55;BANCO SANTANDER;319844506762;REF-2026-000422
13757402-0;JAVIERA LOPEZ MORALES;672015.57;SCOTIABANK;083607731203;REF-2026-000423
11801907-5;FRANCISCA ESPINOZA MUNOZ;330919.13;BANCO SANTANDER;514031982692;REF-2026-000424
15537208-7;SEBASTIAN MUNOZ FLORES;756383.98;BCI;337948418166;REF-2026-000425
20547331-9;ANTONIA MUNOZ GONZALEZ;335543.87;SCOTIABANK;777643417060;REF-2026-000426
25243472-0;JUAN CONTRERAS MORALES;316057.11;BCI;396001270301;REF-2026-000427
18295757-7;FERNANDA SOTO SEPULVEDA;550609.22;BANCO CHILE;447470855281;REF-2026-000428
20173353-7;TOMAS FLORES SILVA;203653.59;BANCO ESTADO;876331071338;REF-2026-000429
9690676-5;PEDRO PEREZ SOTO;1746416.99;BCI;216309782487;REF-2026-000430
18441295-0;CRISTOBAL GONZALEZ ESPINOZA;1234180.33;BANCO ESTADO;216025270085;REF-2026-000431
19879086-9;FRANCISCA GONZALEZ MORALES;261959.05;ITAU;185901080997;REF-2026-000432
24256358-1;SEBASTIAN LOPEZ TORRES;66828.48;BANCO SECURITY;388289257954;REF-2026-000433
12204676-1;DIEGO MARTINEZ MARTINEZ;940353.19;BANCO CHILE;682242400417;REF-2026-000434
25702318-4;FELIPE SEPULVEDA TORRES;869010.70;ITAU;095751183616;REF-2026-000435
14387724-8;CONSTANZA ROJAS FUENTES;423293.82;BCI;601445739812;REF-2026-000436
5655317-7;CONSTANZA RODRIGUEZ TORRES;1146936.62;BANCO FALABELLA;623395208552;REF-2026-000437
21857520-K;JAVIERA LOPEZ MARTINEZ;382101.03;BANCO FALABELLA;244082763787;REF-2026-000438
5983260-3;ANTONIA SOTO TORRES;1115299.45;BCI;176981903509;REF-2026-000439
8359950-2;FELIPE SILVA MARTINEZ;1124228.94;BANCO CHILE;;REF-2026-000440
12362231-6;ISIDORA LOPEZ RODRIGUEZ;1966269.22;BANCO SANTANDER;650556041080;REF-2026-000441
15670455-5;CRISTOBAL ESPINOZA PEREZ;1480247.89;BANCO FALABELLA;627839991685;REF-2026-000442
23911495-4;;303010.72;BCI;970848288067;REF-2026-000443
21516388-1;TOMAS SEPULVEDA DIAZ;1033519.04;BANCO ESTADO;254644310111;REF-2026-000444
25188453-6;FELIPE PEREZ ARAYA;1007415.00;BANCO FALABELLA;679252199568;REF-2026-000445
11760022-K;FRANCISCA MORALES DIAZ;1931822.41;BANCO CHILE;160007905140;REF-2026-000446
24683337-0;FRANCISCA MUNOZ ARAYA;1809954.46;BANCO ESTADO;775698673457;REF-2026-000447
18273984-7;ISIDORA MUNOZ MORALES;637847.41;BANCO SANTANDER;176989981514;REF-2026-000448
19658870-1;NICOLAS MORALES DIAZ;1488070.71;BANCO FALABELLA;732103236841;REF-2026-000449
24761887-2;DIEGO LOPEZ SEPULVEDA;1544299.88;SCOTIABANK;194820485407;REF-2026-000450
5060327-K;ISIDORA LOPEZ ESPINOZA;72911.23;BANCO FALABELLA;894014059284;REF-2026-000451
25514547-9;FELIPE ESPINOZA MUNOZ;1969376.63;BANCO SANTANDER;818466143803;REF-2026-000452
7610757-2;FELIPE RODRIGUEZ MORALES;357085.81;BANCO ESTADO;781918091152;REF-2026-000453
16265882-4;CATALINA PEREZ MARTINEZ;444739.31;BANCO ESTADO;281678179372;REF-2026-000454
8625039-K;MARIA SOTO LOPEZ;924014.93;BANCO SECURITY;185550887103;REF-2026-000455
18892177-9;NICOLAS LOPEZ RODRIGUEZ;1150095.48;BANCO ESTADO;528545708974;REF-2026-000456
24396323-0;FELIPE DIAZ HERNANDEZ;159579.04;SCOTIABANK;348978585341;REF-2026-000457
13761991-1;PEDRO GONZALEZ MORALES;361736.48;BANCO SANTANDER;085748230645;REF-2026-000458
23355826-5;CAMILA MORALES VALDES;1291906.61;BANCO CHILE;184195968159;REF-2026-000459
25378197-1;SEBASTIAN DIAZ SOTO;217353.42;BCI;211343439553;REF-2026-000460
18733153-6;TOMAS FLORES MARTINEZ;1390374.36;SCOTIABANK;105099477227;REF-2026-000461
6665489-3;CONSTANZA ESPINOZA FLORES;1766302.62;BANCO SANTANDER;396371087800;REF-2026-000462
5128029-6;SEBASTIAN GONZALEZ SEPULVEDA;1732837.84;ITAU;104936811868;REF-2026-000463
5863546-4;VALENTINA DIAZ SEPULVEDA;176832.60;BANCO ESTADO;861317826944;REF-2026-000464
18336791-9;NICOLAS TORRES MARTINEZ;196127.82;BANCO SECURITY;405520984627;REF-2026-000465
17799176-7;CRISTOBAL DIAZ HERNANDEZ;98568.33;ITAU;290760217563;REF-2026-000466
12591431-4;ANTONIA ESPINOZA SOTO;321943.96;BANCO ESTADO;735807517721;REF-2026-000467
16535724-8;TOMAS FUENTES ESPINOZA;482128.70;BANCO CHILE;429812958649;REF-2026-000468
22534951-7;SEBASTIAN FLORES TORRES;1206068.30;ITAU;088182905952;REF-2026-000469
6165294-9;FERNANDA ESPINOZA ARAYA;N/A;BANCO SANTANDER;493878372682;REF-2026-000470
10800855-5;DIEGO CONTRERAS CONTRERAS;269631.05;BANCO SECURITY;480675371399;REF-2026-000471
11775286-0;FRANCISCA VALDES MARTINEZ;675563.93;BANCO ESTADO;426575542335;REF-2026-000472
23668484-9;CONSTANZA FLORES MORALES;1801471.35;ITAU;962716887405;REF-2026-000473
5414860-7;JORGE ESPINOZA ARAYA;1644313.53;BANCO ESTADO;165988773807;REF-2026-000474
9972758-6;ISIDORA ESPINOZA ESPINOZA;1595432.12;BANCO ESTADO;858115200247;REF-2026-000475
8388676-5;MATIAS FLORES RODRIGUEZ;1846076.52;SCOTIABANK;719904697611;REF-2026-000476
21293521-2;ISIDORA VALDES TORRES;83571.22;SCOTIABANK;157349582652;REF-2026-000477
25744842-8;JORGE LOPEZ SOTO;835037.42;BCI;817255489360;REF-2026-000478
20945676-1;ANTONIA RODRIGUEZ PEREZ;713556.38;SCOTIABANK;925622048337;REF-2026-000479
21496003-6;PEDRO SILVA ROJAS;635153.95;ITAU;910562536847;REF-2026-000480
15766554-5;ANTONIA FUENTES VALDES;1358826.11;BCI;234825392350;REF-2026-000481
18662370-3;NICOLAS ARAYA RODRIGUEZ;1726798.07;BANCO SANTANDER;340584239108;REF-2026-000482
22005227-3;CONSTANZA ROJAS ARAYA;1849094.72;BANCO CHILE;212199593777;REF-2026-000483
11735272-2;JUAN SILVA SOTO;962242.06;BANCO FALABELLA;218774744552;REF-2026-000484
14193159-8;CRISTOBAL HERNANDEZ ARAYA;837448.81;BANCO ESTADO;033990392682;REF-2026-000485
13118095-0;CRISTOBAL TORRES VALDES;940546.22;ITAU;609111020223;REF-2026-000486
16735994-9;CRISTOBAL DIAZ MARTINEZ;1575685.88;BANCO ESTADO;032289134744;REF-2026-000487
17970991-0;JUAN DIAZ ESPINOZA;1640422.27;BCI;248593611344;REF-2026-000488
11936740-9;ANTONIA FUENTES ARAYA;47052.99;BANCO CHILE;710237888521;REF-2026-000489
10811649-8;JORGE PEREZ SILVA;534301.77;SCOTIABANK;708421349759;REF-2026-000490
14240171-1;SEBASTIAN LOPEZ RODRIGUEZ;967588.32;BCI;333716934527;REF-2026-000491
22469708-2;JORGE LOPEZ ESPINOZA;219564.00;BANCO FALABELLA;712081043785;REF-2026-000492
24923700-0;JORGE SEPULVEDA SEPULVEDA;1440318.13;ITAU;370641365506;REF-2026-000493
14277238-8;JAVIERA MARTINEZ MARTINEZ;1380982.91;SCOTIABANK;165017757655;REF-2026-000494
22357492-0;FELIPE SOTO VALDES;852455.84;BANCO FALABELLA;154247679053;REF-2026-000495
5854137-0;NICOLAS SEPULVEDA MARTINEZ;1906931.53;BANCO SECURITY;810121479722;REF-2026-000496
6185109-7;ISIDORA ESPINOZA CONTRERAS;724673.92;BCI;588063266109;REF-2026-000497
20963024-9;CRISTOBAL ARAYA SEPULVEDA;1777972.21;BANCO SANTANDER;105341008026;REF-2026-000498
20796784-K;FRANCISCA MARTINEZ FLORES;1604955.23;BANCO FALABELLA;098300055920;REF-2026-000499
12457590-7;CRISTOBAL SILVA SEPULVEDA;886794.42;BANCO FALABELLA;642069220481;REF-2026-000500
14866718-7;CATALINA MUNOZ TORRES;117568.81;BANCO ESTADO;977985744279;REF-2026-000501
11527806-1;FERNANDA MUNOZ LOPEZ;1116151.38;BANCO SECURITY;954714934104;REF-2026-000502
10059285-1;FRANCISCA CONTRERAS MORALES;863137.72;ITAU;345212526725;REF-2026-000503
11051768-8;CAMILA TORRES MORALES;1328371.22;BANCO FALABELLA;063854694491;REF-2026-000504
5158158-K;CATALINA MARTINEZ CONTRERAS;1601338.99;BANCO SANTANDER;840993721801;REF-2026-000505
10316200-9;NICOLAS GONZALEZ ROJAS;1293657.55;BANCO SECURITY;470883997086;REF-2026-000506
21018895-9;CONSTANZA PEREZ SOTO;1124423.25;BANCO FALABELLA;017965415521;REF-2026-000507
15811678-2;FERNANDA CONTRERAS PEREZ;1424243.00;BCI;762181015201;REF-2026-000508
16554461-7;MATIAS ROJAS MUNOZ;809363.64;SCOTIABANK;070436822986;REF-2026-000509
6534053-4;MATIAS SEPULVEDA HERNANDEZ;1531374.66;BANCO FALABELLA;977820154166;REF-2026-000510
9489228-7;JAVIERA TORRES RODRIGUEZ;1578106.24;BANCO SANTANDER;894001892476;REF-2026-000511
18535577-2;MARIA SILVA SILVA;1529983.16;BCI;025627671581;REF-2026-000512
24786808-9;FERNANDA DIAZ MUNOZ;773797.91;BANCO CHILE;964684113521;REF-2026-000513
13582860-2;TOMAS VALDES SOTO;1250549.06;BANCO ESTADO;922930052878;REF-2026-000514
5662423-6;JUAN MUNOZ FUENTES;936794.48;BANCO ESTADO;278228466887;REF-2026-000515
20918099-5;FRANCISCA CONTRERAS PEREZ;636486.53;BANCO ESTADO;575075993055;REF-2026-000516
14058929-2;JORGE VALDES ROJAS;883341.13;BANCO ESTADO;126768267912;REF-2026-000517
8565618-K;NICOLAS CONTRERAS VALDES;423904.99;SCOTIABANK;575801910614;REF-2026-000518
11767029-5;CRISTOBAL FUENTES SEPULVEDA;341327.05;ITAU;232543218635;REF-2026-000519
21128405-6;JAVIERA SILVA PEREZ;31737.85;BANCO ESTADO;125154104423;REF-2026-000520
24265369-6;NICOLAS ROJAS GONZALEZ;1639784.65;BANCO ESTADO;798676631820;REF-2026-000521
8398744-8;ANTONIA SILVA HERNANDEZ;625803.33;ITAU;108589275203;REF-2026-000522
10862019-6;JUAN SEPULVEDA RODRIGUEZ;1686068.86;BANCO FALABELLA;814578454423;REF-2026-000523
8888994-0;PEDRO SOTO PEREZ;1791770.17;BANCO SANTANDER;393253611454;REF-2026-000524
19687261-2;JORGE MARTINEZ GONZALEZ;786445.43;BANCO SANTANDER;439575568924;REF-2026-000525
18430168-7;CATALINA MARTINEZ LOPEZ;1451830.61;BANCO SECURITY;974449383310;REF-2026-000526
10596165-0;PEDRO ROJAS SOTO;1981496.20;BANCO ESTADO;531818230647;REF-2026-000527
24090573-6;CATALINA DIAZ VALDES;-801395.99;BANCO FALABELLA;033690535494;REF-2026-000528
9384065-8;NICOLAS TORRES MUNOZ;1866419.52;ITAU;069916926394;REF-2026-000529
13778271-5;JAVIERA PEREZ ARAYA;1614624.95;BCI;961654666598;REF-2026-000530
16351485-0;FERNANDA ARAYA VALDES;204737.55;BCI;381026994241;REF-2026-000531
17914316-K;FRANCISCA FLORES VALDES;119433.01;BANCO SANTANDER;935179299412;REF-2026-000532
20746723-5;NICOLAS DIAZ GONZALEZ;1580862.62;BANCO FALABELLA;362811875348;REF-2026-000533
14333404-K;JUAN ARAYA SILVA;1159472.82;BANCO SECURITY;900380226336;REF-2026-000534
12885291-3;CAMILA HERNANDEZ HERNANDEZ;1685366.73;ITAU;941975880239;REF-2026-000535
21725412-4;CATALINA MORALES MUNOZ;1048067.95;BANCO CHILE;443822481206;REF-2026-000536
18835785-7;JUAN FLORES FLORES;5355.11;SCOTIABANK;563168745664;REF-2026-000537
